country,country_code,sector,subsector,btype,bage,topic,feature,type,detail,estimated,value,unit,source,,,,
Austria,at,Residential sector,Residential sector,Total,,BUILDING,Area,Constructed area [Mm²],,0,347.3519528,Mm²,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Residential sector,Total,,BUILDING,Area,Number of dwellings/units [Mil.],,0,4.46,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Residential sector,Total,,BUILDING,Area,Number of buildings [Mil.],,0,3.62,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Residential sector,Total,,BUILDING,Tenure/ownership status and distribution,Owner occupied -  dwellings/units  [Mil.],,0,2.55112,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Residential sector,Total,,BUILDING,Tenure/ownership status and distribution,Private rented  -  dwellings/units [Mil.],,0,1.21312,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Residential sector,Total,,BUILDING,Tenure/ownership status and distribution,Social housing  -  dwellings/units [Mil.],,0,0.69576,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Residential sector,Total,,BUILDING,Occupancy,Occupied [Mil.],,0,2.70551867219917,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Residential sector,Total,,BUILDING,Occupancy,Vacant [Mil.],,0,1.75448132780083,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,Before 1945,BUILDING,Area,Constructed area [Mm²],,0,78.7339048,Mm²,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,Before 1945,BUILDING,Area,Heated area [Mm²],,0,72.7633749025877,Mm²,S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,,
Austria,at,Residential sector,Total,Total,Before 1945,BUILDING,Area,Cooled area [Mm²],,0,1.65042173,Mm²,,,,,
Austria,at,Residential sector,Total,Total,Before 1945,BUILDING,Area,Number of dwellings/units [Mil.],,0,1.01094354753833,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,Before 1945,BUILDING,Area,Number of buildings [Mil.],,0,0.82054162378672,1e6 dimensionless,Own calculations,,,,
